# RAA_x, RAA_xerr, RAA_y, RAA_yerr
5.650000000000000000e+01 6.500000000000000000e+00 4.719999999999999751e-01 5.435587740070064316e-02
7.100000000000000000e+01 8.000000000000000000e+00 4.909999999999999920e-01 8.343822336315653843e-02
8.950000000000000000e+01 1.050000000000000000e+01 4.530000000000000138e-01 6.473622013988768187e-02
1.125000000000000000e+02 1.250000000000000000e+01 4.779999999999999805e-01 5.250172355266062574e-02
1.415000000000000000e+02 1.650000000000000000e+01 5.110000000000000098e-01 5.534391863610670786e-02
1.785000000000000000e+02 2.050000000000000000e+01 5.649999999999999467e-01 6.402723990615243055e-02
2.250000000000000000e+02 2.600000000000000000e+01 5.979999999999999760e-01 7.539070218534908718e-02
2.835000000000000000e+02 3.250000000000000000e+01 5.949999999999999734e-01 9.135526996293097390e-02
3.570000000000000000e+02 4.100000000000000000e+01 5.629999999999999449e-01 1.356467856235450686e-01
